task,epoch,lr,seconds,train_accuracy,train_loss,train_iou,train_dice,train_miou,train_biou,val_accuracy,val_loss,val_iou,val_dice,val_miou,val_biou,separation,stability_loss,replay_loss
landcover_buildings,1,0.0001,28.595023999980185,0.99853515625,1.6649878025054932,0.0,0.0,0.499267578125,0.0,0.9999847412109375,1.6650527864694595,0.0,0.0,0.49999237060546875,0.0,0.0,0.0,0.0
openearthmap_buildings,1,0.0001,0.7911119000054896,0.876434326171875,1.4836325645446777,0.0,0.0,0.4382171630859375,0.0,0.8257825238993509,1.4450373202562332,0.0,0.0,0.41289126194967546,0.0,0.9959098398685455,1.0281801223754883e-06,1.6632615476846695
